rank	score
0.001	1.37371
0.002	1.16471
0.003	1.04551
0.004	0.95016
0.005	0.91216
0.006	0.84585
0.007	0.8072
0.008	0.78066
0.009	0.75075
0.01	0.71478
0.02	0.52573
0.03	0.38898
0.04	0.29717
0.05	0.2231
0.06	0.16512
0.07	0.12189
0.08	0.07574
0.09	0.03131
0.1	-0.00071
0.2	-0.24788
0.3	-0.3995
0.4	-0.51539
0.5	-0.61132
0.6	-0.68799
0.7	-0.75611
0.8	-0.81305
0.9	-0.866
1.0	-0.90921
2.0	-1.2361
3.0	-1.44569
4.0	-1.60132
5.0	-1.73095
6.0	-1.83655
7.0	-1.93115
8.0	-2.01495
9.0	-2.08924
10.0	-2.15775
20.0	-2.662
30.0	-3.0161
40.0	-3.31345
50.0	-3.58381
60.0	-3.85134
70.0	-4.1313
80.0	-4.45517
90.0	-4.89426
100.0	-7.80512
