rank	score
0.001	1.12325
0.002	1.03347
0.003	0.92648
0.004	0.86947
0.005	0.84333
0.006	0.81018
0.007	0.79124
0.008	0.76968
0.009	0.73544
0.01	0.69929
0.02	0.49144
0.03	0.38782
0.04	0.29874
0.05	0.23245
0.06	0.17873
0.07	0.12572
0.08	0.08121
0.09	0.03747
0.1	-0.00098
0.2	-0.28649
0.3	-0.46616
0.4	-0.60879
0.5	-0.71567
0.6	-0.80133
0.7	-0.87867
0.8	-0.94274
0.9	-1.00036
1.0	-1.05839
2.0	-1.42284
3.0	-1.6439
4.0	-1.80893
5.0	-1.9396
6.0	-2.05086
7.0	-2.14731
8.0	-2.23294
9.0	-2.31114
10.0	-2.38251
20.0	-2.89587
30.0	-3.25117
40.0	-3.54528
50.0	-3.81084
60.0	-4.06719
70.0	-4.33379
80.0	-4.63842
90.0	-5.05584
100.0	-8.80848
