rank	score
0.001	1.51392
0.002	1.31134
0.003	1.20588
0.004	1.05564
0.005	0.94752
0.006	0.92432
0.007	0.88471
0.008	0.84339
0.009	0.81006
0.01	0.73507
0.02	0.53852
0.03	0.40187
0.04	0.30883
0.05	0.22742
0.06	0.17056
0.07	0.12392
0.08	0.0731
0.09	0.03776
0.1	-0.0008
0.2	-0.23833
0.3	-0.37962
0.4	-0.4965
0.5	-0.5881
0.6	-0.66121
0.7	-0.7284
0.8	-0.78536
0.9	-0.83689
1.0	-0.88528
2.0	-1.20531
3.0	-1.40516
4.0	-1.55255
5.0	-1.67305
6.0	-1.77416
7.0	-1.86204
8.0	-1.94261
9.0	-2.01478
10.0	-2.08234
20.0	-2.57052
30.0	-2.91009
40.0	-3.19378
50.0	-3.45338
60.0	-3.70548
70.0	-3.96604
80.0	-4.26225
90.0	-4.65823
100.0	-7.5726
