rank	score
0.001	1.12189
0.002	0.97137
0.003	0.85058
0.004	0.79684
0.005	0.74513
0.006	0.71165
0.007	0.69082
0.008	0.6694
0.009	0.65463
0.01	0.61598
0.02	0.46418
0.03	0.34378
0.04	0.27012
0.05	0.20597
0.06	0.14604
0.07	0.10197
0.08	0.06736
0.09	0.03081
0.1	0.0
0.2	-0.21222
0.3	-0.34177
0.4	-0.43962
0.5	-0.51946
0.6	-0.58597
0.7	-0.6444
0.8	-0.6911
0.9	-0.73759
1.0	-0.77689
2.0	-1.058
3.0	-1.24521
4.0	-1.38442
5.0	-1.49716
6.0	-1.59392
7.0	-1.67885
8.0	-1.75465
9.0	-1.82404
10.0	-1.88747
20.0	-2.35822
30.0	-2.69419
40.0	-2.98006
50.0	-3.24733
60.0	-3.51183
70.0	-3.79143
80.0	-4.11648
90.0	-4.55843
100.0	-7.34433
