rank	score
0.001	1.04048
0.002	0.96331
0.003	0.90427
0.004	0.86892
0.005	0.8484
0.006	0.83266
0.007	0.72591
0.008	0.65536
0.009	0.63143
0.01	0.58369
0.02	0.44488
0.03	0.34664
0.04	0.26533
0.05	0.1876
0.06	0.13296
0.07	0.09512
0.08	0.06327
0.09	0.02853
0.1	-0.00037
0.2	-0.24004
0.3	-0.37485
0.4	-0.47934
0.5	-0.55877
0.6	-0.6325
0.7	-0.69128
0.8	-0.74325
0.9	-0.7935
1.0	-0.83668
2.0	-1.14271
3.0	-1.33886
4.0	-1.48886
5.0	-1.609
6.0	-1.71404
7.0	-1.80518
8.0	-1.88612
9.0	-1.96106
10.0	-2.02945
20.0	-2.53686
30.0	-2.8941
40.0	-3.19748
50.0	-3.47569
60.0	-3.74913
70.0	-4.04218
80.0	-4.38001
90.0	-4.84141
100.0	-8.46307
