rank	score
0.001	0.95088
0.002	0.80504
0.003	0.77155
0.004	0.69847
0.005	0.65117
0.006	0.59661
0.007	0.5693
0.008	0.5386
0.009	0.51754
0.01	0.5063
0.02	0.40206
0.03	0.31223
0.04	0.24303
0.05	0.18663
0.06	0.13985
0.07	0.09108
0.08	0.057
0.09	0.02371
0.1	-0.00013
0.2	-0.20569
0.3	-0.33173
0.4	-0.43036
0.5	-0.50845
0.6	-0.5695
0.7	-0.62105
0.8	-0.66855
0.9	-0.71189
1.0	-0.75267
2.0	-1.03969
3.0	-1.22003
4.0	-1.35815
5.0	-1.47
6.0	-1.56524
7.0	-1.64873
8.0	-1.72432
9.0	-1.79347
10.0	-1.85783
20.0	-2.33486
30.0	-2.67709
40.0	-2.96826
50.0	-3.23683
60.0	-3.50288
70.0	-3.7854
80.0	-4.11302
90.0	-4.56125
100.0	-7.43649
