rank	score
0.001	1.51072
0.002	1.15176
0.003	1.05706
0.004	0.97468
0.005	0.92267
0.006	0.8616
0.007	0.80316
0.008	0.74551
0.009	0.71908
0.01	0.70361
0.02	0.5117
0.03	0.38293
0.04	0.30132
0.05	0.23474
0.06	0.17139
0.07	0.11749
0.08	0.07815
0.09	0.04025
0.1	-0.00092
0.2	-0.27222
0.3	-0.44059
0.4	-0.55343
0.5	-0.64332
0.6	-0.72032
0.7	-0.78678
0.8	-0.8423
0.9	-0.89306
1.0	-0.93877
2.0	-1.26256
3.0	-1.46143
4.0	-1.61245
5.0	-1.73613
6.0	-1.84105
7.0	-1.93124
8.0	-2.01359
9.0	-2.08658
10.0	-2.15298
20.0	-2.6397
30.0	-2.98332
40.0	-3.27239
50.0	-3.54189
60.0	-3.80462
70.0	-4.08337
80.0	-4.4067
90.0	-4.84443
100.0	-8.04413
