rank	score
0.001	1.1826
0.002	1.02642
0.003	0.89269
0.004	0.82675
0.005	0.78344
0.006	0.734
0.007	0.71379
0.008	0.67923
0.009	0.64155
0.01	0.60381
0.02	0.44795
0.03	0.32972
0.04	0.25965
0.05	0.18888
0.06	0.1334
0.07	0.08949
0.08	0.05459
0.09	0.02052
0.1	0.0
0.2	-0.20541
0.3	-0.32507
0.4	-0.41717
0.5	-0.49155
0.6	-0.55389
0.7	-0.6095
0.8	-0.65898
0.9	-0.699
1.0	-0.7396
2.0	-1.01783
3.0	-1.19774
4.0	-1.33713
5.0	-1.44929
6.0	-1.5442
7.0	-1.62888
8.0	-1.70624
9.0	-1.77519
10.0	-1.84072
20.0	-2.32059
30.0	-2.66292
40.0	-2.94982
50.0	-3.21649
60.0	-3.4791
70.0	-3.75769
80.0	-4.08074
90.0	-4.52428
100.0	-7.92122
