rank	score
0.001	1.49553
0.002	1.17772
0.003	1.08114
0.004	1.02944
0.005	0.95368
0.006	0.86714
0.007	0.83133
0.008	0.80272
0.009	0.74847
0.01	0.72506
0.02	0.51321
0.03	0.40101
0.04	0.30027
0.05	0.21776
0.06	0.16939
0.07	0.1205
0.08	0.06565
0.09	0.02917
0.1	-0.00119
0.2	-0.25702
0.3	-0.4242
0.4	-0.54187
0.5	-0.63267
0.6	-0.71646
0.7	-0.77937
0.8	-0.84305
0.9	-0.90052
1.0	-0.94798
2.0	-1.28953
3.0	-1.5031
4.0	-1.66008
5.0	-1.79171
6.0	-1.90156
7.0	-1.99847
8.0	-2.08309
9.0	-2.15952
10.0	-2.23047
20.0	-2.74722
30.0	-3.10587
40.0	-3.40556
50.0	-3.6808
60.0	-3.95078
70.0	-4.22932
80.0	-4.55028
90.0	-4.98727
100.0	-8.0941
