rank	score
0.001	1.1385
0.002	1.05608
0.003	0.93878
0.004	0.84909
0.005	0.80999
0.006	0.76584
0.007	0.73664
0.008	0.70156
0.009	0.68263
0.01	0.65943
0.02	0.48197
0.03	0.37733
0.04	0.28712
0.05	0.22366
0.06	0.1595
0.07	0.11383
0.08	0.07146
0.09	0.03392
0.1	-1e-05
0.2	-0.25512
0.3	-0.41183
0.4	-0.51491
0.5	-0.6056
0.6	-0.6781
0.7	-0.74375
0.8	-0.80224
0.9	-0.8511
1.0	-0.89314
2.0	-1.2098
3.0	-1.41718
4.0	-1.58119
5.0	-1.71598
6.0	-1.83113
7.0	-1.93544
8.0	-2.02883
9.0	-2.11206
10.0	-2.19067
20.0	-2.77927
30.0	-3.18262
40.0	-3.51458
50.0	-3.82617
60.0	-4.1446
70.0	-4.49044
80.0	-4.88068
90.0	-5.37416
100.0	-8.59385
