rank	score
0.001	0.9959
0.002	0.85771
0.003	0.79437
0.004	0.74152
0.005	0.68646
0.006	0.65388
0.007	0.61759
0.008	0.6015
0.009	0.57045
0.01	0.54482
0.02	0.39351
0.03	0.29642
0.04	0.23186
0.05	0.17751
0.06	0.13544
0.07	0.09612
0.08	0.06071
0.09	0.02112
0.1	-0.00173
0.2	-0.21476
0.3	-0.35503
0.4	-0.45027
0.5	-0.52632
0.6	-0.59231
0.7	-0.64746
0.8	-0.69612
0.9	-0.74137
1.0	-0.78034
2.0	-1.06301
3.0	-1.25086
4.0	-1.39418
5.0	-1.51457
6.0	-1.61558
7.0	-1.70488
8.0	-1.78669
9.0	-1.86001
10.0	-1.92713
20.0	-2.42354
30.0	-2.77185
40.0	-3.06505
50.0	-3.33611
60.0	-3.60754
70.0	-3.89627
80.0	-4.23137
90.0	-4.68798
100.0	-8.14088
