rank	score
0.001	1.20902
0.002	1.1111
0.003	1.03901
0.004	1.01783
0.005	0.99153
0.006	0.94178
0.007	0.88269
0.008	0.82738
0.009	0.80076
0.01	0.77992
0.02	0.57959
0.03	0.44314
0.04	0.34715
0.05	0.26197
0.06	0.19439
0.07	0.13835
0.08	0.08142
0.09	0.04083
0.1	0.0
0.2	-0.27815
0.3	-0.4479
0.4	-0.57748
0.5	-0.6785
0.6	-0.7597
0.7	-0.82699
0.8	-0.88649
0.9	-0.9432
1.0	-0.99335
2.0	-1.36086
3.0	-1.60124
4.0	-1.77797
5.0	-1.92059
6.0	-2.03824
7.0	-2.14425
8.0	-2.23712
9.0	-2.31937
10.0	-2.39214
20.0	-2.92415
30.0	-3.2889
40.0	-3.59028
50.0	-3.86457
60.0	-4.1341
70.0	-4.42005
80.0	-4.75118
90.0	-5.20895
100.0	-8.42773
