rank	score
0.001	1.28364
0.002	1.14264
0.003	1.06708
0.004	1.00624
0.005	0.93005
0.006	0.88502
0.007	0.86572
0.008	0.82819
0.009	0.80026
0.01	0.75276
0.02	0.55006
0.03	0.39881
0.04	0.30706
0.05	0.23175
0.06	0.17557
0.07	0.12882
0.08	0.07685
0.09	0.03455
0.1	-0.00156
0.2	-0.25819
0.3	-0.41837
0.4	-0.538
0.5	-0.63397
0.6	-0.71296
0.7	-0.78048
0.8	-0.83834
0.9	-0.89373
1.0	-0.94339
2.0	-1.28564
3.0	-1.50328
4.0	-1.66222
5.0	-1.7919
6.0	-1.90121
7.0	-1.99624
8.0	-2.08011
9.0	-2.15736
10.0	-2.22763
20.0	-2.7431
30.0	-3.10391
40.0	-3.40019
50.0	-3.6633
60.0	-3.91739
70.0	-4.18409
80.0	-4.49613
90.0	-4.92932
100.0	-8.49042
