rank	score
0.001	1.18145
0.002	1.02912
0.003	0.92396
0.004	0.87448
0.005	0.77884
0.006	0.72575
0.007	0.68379
0.008	0.65978
0.009	0.63739
0.01	0.61583
0.02	0.45415
0.03	0.35569
0.04	0.27116
0.05	0.20419
0.06	0.14956
0.07	0.10417
0.08	0.06616
0.09	0.0305
0.1	0.0
0.2	-0.21943
0.3	-0.34985
0.4	-0.44747
0.5	-0.52329
0.6	-0.58718
0.7	-0.63996
0.8	-0.68872
0.9	-0.73554
1.0	-0.77699
2.0	-1.05232
3.0	-1.22986
4.0	-1.36757
5.0	-1.47606
6.0	-1.56724
7.0	-1.64705
8.0	-1.72092
9.0	-1.78685
10.0	-1.84896
20.0	-2.30376
30.0	-2.63239
40.0	-2.91104
50.0	-3.17376
60.0	-3.43325
70.0	-3.71114
80.0	-4.03471
90.0	-4.48237
100.0	-7.6735
