rank	score
0.001	1.17713
0.002	1.07776
0.003	0.99577
0.004	0.92299
0.005	0.86812
0.006	0.81982
0.007	0.76321
0.008	0.72186
0.009	0.68578
0.01	0.65633
0.02	0.49323
0.03	0.36646
0.04	0.2827
0.05	0.22212
0.06	0.17609
0.07	0.11831
0.08	0.07596
0.09	0.03742
0.1	0.0
0.2	-0.22531
0.3	-0.36199
0.4	-0.46582
0.5	-0.55317
0.6	-0.62697
0.7	-0.68543
0.8	-0.73657
0.9	-0.78362
1.0	-0.82809
2.0	-1.13172
3.0	-1.32825
4.0	-1.47404
5.0	-1.5972
6.0	-1.70183
7.0	-1.79285
8.0	-1.87584
9.0	-1.95072
10.0	-2.01969
20.0	-2.52531
30.0	-2.87593
40.0	-3.16289
50.0	-3.42702
60.0	-3.68645
70.0	-3.96423
80.0	-4.28632
90.0	-4.73286
100.0	-8.2517
