rank	score
0.001	1.25114
0.002	1.13712
0.003	1.11249
0.004	1.06295
0.005	1.00906
0.006	0.95321
0.007	0.91643
0.008	0.8979
0.009	0.84347
0.01	0.82253
0.02	0.58133
0.03	0.43831
0.04	0.30473
0.05	0.23778
0.06	0.17873
0.07	0.12408
0.08	0.07624
0.09	0.03524
0.1	-0.00053
0.2	-0.25825
0.3	-0.41802
0.4	-0.53788
0.5	-0.63072
0.6	-0.70611
0.7	-0.77118
0.8	-0.83196
0.9	-0.88334
1.0	-0.93104
2.0	-1.25273
3.0	-1.45691
4.0	-1.61295
5.0	-1.73859
6.0	-1.84454
7.0	-1.93811
8.0	-2.02245
9.0	-2.09639
10.0	-2.16514
20.0	-2.66096
30.0	-3.00363
40.0	-3.29044
50.0	-3.5537
60.0	-3.8132
70.0	-4.08648
80.0	-4.40005
90.0	-4.83015
100.0	-8.45373
