Length	Allele	Number_Motifs
9	A0101	1
10	A0101	1
11	A0101	1
12	A0101	1
13	A0101	1
14	A0101	1
8	A0101	1
9	A0201	1
10	A0201	1
11	A0201	1
12	A0201	1
13	A0201	1
14	A0201	1
8	A0201	1
9	A0202	1
10	A0202	1
11	A0202	1
12	A0202	1
13	A0202	1
14	A0202	1
8	A0202	1
9	A0203	1
10	A0203	1
11	A0203	1
12	A0203	1
13	A0203	1
14	A0203	1
8	A0203	1
9	A0204	1
10	A0204	1
11	A0204	1
12	A0204	1
13	A0204	1
14	A0204	1
8	A0204	1
9	A0205	1
10	A0205	1
11	A0205	1
12	A0205	1
13	A0205	1
14	A0205	1
8	A0205	1
9	A0206	1
10	A0206	1
11	A0206	1
12	A0206	1
13	A0206	1
14	A0206	1
8	A0206	1
9	A0207	2
10	A0207	1
11	A0207	1
12	A0207	1
13	A0207	1
14	A0207	1
8	A0207	1
9	A0211	1
10	A0211	1
11	A0211	1
12	A0211	1
13	A0211	1
14	A0211	1
8	A0211	1
9	A0220	1
10	A0220	1
11	A0220	1
12	A0220	1
13	A0220	1
14	A0220	1
8	A0220	1
9	A0301	2
10	A0301	2
11	A0301	1
12	A0301	1
13	A0301	1
14	A0301	1
8	A0301	1
9	A0302	1
10	A0302	1
11	A0302	1
12	A0302	1
13	A0302	1
14	A0302	1
8	A0302	1
9	A1101	1
10	A1101	1
11	A1101	1
12	A1101	1
13	A1101	1
14	A1101	1
8	A1101	1
9	A1102	1
10	A1102	1
11	A1102	1
12	A1102	1
13	A1102	1
14	A1102	1
8	A1102	1
9	A2301	1
10	A2301	1
11	A2301	1
12	A2301	1
13	A2301	1
14	A2301	1
8	A2301	1
9	A2402	1
10	A2402	1
11	A2402	1
12	A2402	1
13	A2402	1
14	A2402	1
8	A2402	1
9	A2407	2
10	A2407	1
11	A2407	1
12	A2407	1
13	A2407	1
14	A2407	1
8	A2407	1
9	A2501	1
10	A2501	1
11	A2501	1
12	A2501	1
13	A2501	1
14	A2501	1
8	A2501	1
9	A2601	1
10	A2601	1
11	A2601	1
12	A2601	1
13	A2601	1
14	A2601	1
8	A2601	1
9	A2902	1
10	A2902	1
11	A2902	1
12	A2902	1
13	A2902	1
14	A2902	1
8	A2902	1
9	A3001	2
10	A3001	2
11	A3001	1
12	A3001	1
13	A3001	1
14	A3001	1
8	A3001	1
9	A3002	1
10	A3002	1
11	A3002	1
12	A3002	1
13	A3002	1
14	A3002	1
8	A3002	1
9	A3101	1
10	A3101	1
11	A3101	1
12	A3101	1
13	A3101	1
14	A3101	1
8	A3101	1
9	A3201	1
10	A3201	1
11	A3201	1
12	A3201	1
13	A3201	1
14	A3201	1
8	A3201	1
9	A3301	1
10	A3301	1
11	A3301	1
12	A3301	1
13	A3301	1
14	A3301	1
8	A3301	1
9	A3303	1
10	A3303	1
11	A3303	1
12	A3303	1
13	A3303	1
14	A3303	1
8	A3303	1
9	A3401	2
10	A3401	2
11	A3401	1
12	A3401	1
13	A3401	1
14	A3401	1
8	A3401	1
9	A3402	2
10	A3402	2
11	A3402	1
12	A3402	1
13	A3402	1
14	A3402	1
8	A3402	1
9	A3601	1
10	A3601	1
11	A3601	1
12	A3601	1
13	A3601	1
14	A3601	1
8	A3601	1
9	A6601	1
10	A6601	1
11	A6601	1
12	A6601	1
13	A6601	1
14	A6601	1
8	A6601	1
9	A6801	2
10	A6801	2
11	A6801	1
12	A6801	1
13	A6801	1
14	A6801	1
8	A6801	1
9	A6802	2
10	A6802	1
11	A6802	1
12	A6802	1
13	A6802	1
14	A6802	1
8	A6802	1
9	A7401	1
10	A7401	1
11	A7401	1
12	A7401	1
13	A7401	1
14	A7401	1
8	A7401	1
9	B0702	4
10	B0702	2
11	B0702	2
12	B0702	1
13	B0702	1
14	B0702	1
8	B0702	1
9	B0704	4
10	B0704	1
11	B0704	1
12	B0704	1
13	B0704	1
14	B0704	1
8	B0704	1
9	B0801	2
10	B0801	1
11	B0801	1
12	B0801	1
13	B0801	1
14	B0801	1
8	B0801	1
9	B1301	1
10	B1301	1
11	B1301	1
12	B1301	1
13	B1301	1
14	B1301	1
8	B1301	1
9	B1302	1
10	B1302	1
11	B1302	1
12	B1302	1
13	B1302	1
14	B1302	1
8	B1302	1
9	B1401	1
10	B1401	1
11	B1401	1
12	B1401	1
13	B1401	1
14	B1401	1
8	B1401	1
9	B1402	2
10	B1402	1
11	B1402	1
12	B1402	1
13	B1402	1
14	B1402	1
8	B1402	1
9	B1501	1
10	B1501	1
11	B1501	1
12	B1501	1
13	B1501	1
14	B1501	1
8	B1501	1
9	B1502	1
10	B1502	1
11	B1502	1
12	B1502	1
13	B1502	1
14	B1502	1
8	B1502	1
9	B1503	1
10	B1503	1
11	B1503	1
12	B1503	1
13	B1503	1
14	B1503	1
8	B1503	1
9	B1510	1
10	B1510	1
11	B1510	1
