Allele	ratio
A0101_1	1
A0201_1	1
A0202_1	1
A0203_1	1
A0204_1	1
A0205_1	1
A0206_1	1
A0207_1	1
A0211_1	1
A0220_1	1
A0252_1	1
A0301_1	1
A0302_1	1
A1101_1	1
A1102_1	1
A2301_1	1
A2402_1	1
A2407_1	1
A2501_1	1
A2601_1	1
A2608_1	1
A2902_1	1
A3001_1	1
A3002_1	1
A3101_1	1
A3201_1	1
A3301_1	1
A3303_1	1
A3401_1	1
A3402_1	1
A3601_1	1
A6601_1	1
A6801_1	1
A6802_1	1
A6901_1	1
A7401_1	1
B0702_1	1
B0704_1	1
B0801_1	1
B1301_1	1
B1302_1	1
B1401_1	1
B1402_1	1
B1501_1	1
B1502_1	1
B1503_1	1
B1510_1	1
B1511_1	1
B1513_1	1
B1517_1	1
B1518_1	1
B1801_1	1
B1803_1	1
B1805_1	1
B2704_1	1
B2705_1	1
B2709_1	1
B3501_1	1
B3502_1	1
B3503_1	1
B3507_1	1
B3508_1	1
B3701_1	1
B3801_1	1
B3802_1	1
B3901_1	1
B3905_1	1
B3906_1	1
B3924_1	1
B4001_1	1
B4002_1	1
B4006_1	1
B4032_1	1
B4101_1	1
B4201_1	1
B4402_1	1
B4403_1	1
B4405_1	1
B4501_1	1
B4601_1	1
B4701_1	1
B4801_1	1
B4901_1	1
B5001_1	1
B5101_1	1
B5108_1	1
B5201_1	1
B5301_1	1
B5401_1	1
B5501_1	1
B5502_1	1
B5601_1	1
B5701_1	1
B5703_1	1
B5801_1	1
B5802_1	1
B6701_1	1
B7301_1	1
B8101_1	1
BoLA-102301_1	1
BoLA-201201_1	1
BoLA-202501_1	1
BoLA-300201_1	1
BoLA-402401_1	1
BoLA-601301_1	1
C0102_1	1
C0202_1	1
C0302_1	1
C0303_1	1
C0304_1	1
C0401_1	1
C0403_1	1
C0501_1	1
C0602_1	1
C0701_1	1
C0702_1	1
C0704_1	1
C0801_1	1
C0802_1	1
C1202_1	1
C1203_1	1
C1204_1	1
C1402_1	1
C1403_1	1
C1502_1	1
C1505_1	1
C1601_1	1
C1602_1	1
C1701_1	1
DLA-8850101_1	1
E0103_1	1
G0101_1	1
G0103_1	1
G0104_1	1
H2-Db_1	1
H2-Dd_1	1
H2-Dq_1	1
H2-Kb_1	1
H2-Kd_1	1
H2-Kk_1	1
H2-Kq_1	1
H2-Ld_1	1
Mamu-B00801_1	1
